"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"1","Adam Flagler","Presbyterian","BSth",79.8,112,22.7,55.2,2.7,10.3,8.1,10.2,0.9,1.5,19.3,"Fr","3-Jun","Baylor",-1.9266
"2","Hunter Crist","Green Bay","Horz",22,100.3,11.6,37.9,2,10.1,19.3,21.9,0,1.6,78.8,"Jr","3-Jun","Binghamton",-1.04087
"3","Bernie Andre","Northern Arizona","BSky",70,102.6,22.1,51.2,6.9,21.1,7.5,15.8,1.2,1.7,28.1,"Jr","6-Jun","Vermont",-1.54391
"4","Gregory Hammond","Rhode Island","A10",1.1,118.3,19.1,50,0,24.8,27,22.3,0,0,66.7,"Fr","5-Jun","UMass Lowell",1.71098
"5","Kenny Cooper","Lipscomb","ASun",66,100.6,22.5,49.7,2.7,11.6,28.8,21.2,0.8,3.6,30.4,"Jr","Jun-00","Western Kentucky",2.75896
"6","Axel Okongo","Missouri","SEC",2.4,117.7,6.8,100,3.9,4,0,29.1,4.2,0,100,"Jr","Jul-00","Eastern Michigan",0.573553
"7","Sean East II","Massachusetts","A10",69.8,95.6,23.7,44.7,2.8,7.7,36.1,23.2,0.1,2.3,24.1,"Fr","3-Jun","Bradley",-1.34511
"8","P.J. Horne","Virginia Tech","ACC",68.5,100.5,14,55.6,3.2,13.9,2.5,14,2.9,1.5,10.7,"Jr","6-Jun","Georgia",1.27682
"9","Chevez Goodwin","Wofford","SC",54.1,115.3,27,63.8,14.1,22.9,10,14.6,6.6,0.8,44.6,"Jr","9-Jun","USC",0.260337
"10","Ben Coupet Jr.","UNLV","MWC",3,85.3,22.4,40,5.7,30,5,27.2,8.3,3.1,70,"So","7-Jun","Little Rock",2.71691
"11","Dimencio Vaughn","Rider","MAAC",79,107.4,22.8,54,5.8,17.3,13,16.9,3.1,3.2,44,"Jr","5-Jun","Mississippi",2.05279
